Entity,Code,Year,Renewables
Algeria,DZA,2024,0.24168092
Argentina,ARG,2024,14.8029785
Australia,AUS,2024,14.733206
Austria,AUT,2024,43.347355
Azerbaijan,AZE,2024,4.303142
Bangladesh,BGD,2024,1.0953214
Belarus,BLR,2024,0.96882594
Belgium,BEL,2024,11.45436
Brazil,BRA,2024,49.61598
Bulgaria,BGR,2024,16.42459
Canada,CAN,2024,27.156591
Chile,CHL,2024,32.254448
China,CHN,2024,17.472376
Colombia,COL,2024,26.092882
Croatia,HRV,2024,27.778172
Cyprus,CYP,2024,10.795388
Czechia,CZE,2024,9.745923
Denmark,DNK,2024,41.722164
Ecuador,ECU,2024,25.357561
Egypt,EGY,2024,5.778012
Estonia,EST,2024,17.946262
Finland,FIN,2024,38.894417
France,FRA,2024,16.46539
Germany,DEU,2024,23.968008
Greece,GRC,2024,21.05491
Hungary,HUN,2024,12.705954
Iceland,ISL,2024,80.49809
India,IND,2024,9.146443
Indonesia,IDN,2024,10.95419
Iran,IRN,2024,1.4326231
Iraq,IRQ,2024,0.58428055
Ireland,IRL,2024,22.180317
Israel,ISR,2024,9.794843
Italy,ITA,2024,20.930578
Japan,JPN,2024,12.697048
Kazakhstan,KAZ,2024,5.119867
Kuwait,KWT,2024,0.075629674
Latvia,LVA,2024,29.669052
Lithuania,LTU,2024,23.413942
Luxembourg,LUX,2024,14.278366
Malaysia,MYS,2024,8.281804
Mexico,MEX,2024,8.250967
Morocco,MAR,2024,8.673474
Netherlands,NLD,2024,18.119257
New Zealand,NZL,2024,42.554394
North Macedonia,MKD,2024,16.037403
Norway,NOR,2024,71.81197
Oman,OMN,2024,1.1151829
Pakistan,PAK,2024,12.506971
Peru,PER,2024,26.65619
Philippines,PHL,2024,12.818433
Poland,POL,2024,13.04527
Portugal,PRT,2024,39.74076
Qatar,QAT,2024,0.81071275
Romania,ROU,2024,19.111818
Russia,RUS,2024,5.999395
Saudi Arabia,SAU,2024,0.7283918
Singapore,SGP,2024,0.5452378
Slovakia,SVK,2024,11.295315
Slovenia,SVN,2024,24.735876
South Africa,ZAF,2024,3.5567286
South Korea,KOR,2024,4.748179
Spain,ESP,2024,25.862646
Sri Lanka,LKA,2024,23.249748
Sweden,SWE,2024,51.31793
Switzerland,CHE,2024,39.8679
Taiwan,TWN,2024,6.2682457
Thailand,THA,2024,7.4027457
Trinidad and Tobago,TTO,2024,0.010788339
Turkey,TUR,2024,19.78555
Turkmenistan,TKM,2024,0.00666179
Ukraine,UKR,2024,8.298777
United Arab Emirates,ARE,2024,2.5193515
United Kingdom,GBR,2024,21.292688
United States,USA,2024,12.050454
Uzbekistan,UZB,2024,4.581725
Venezuela,VEN,2024,25.840307
Vietnam,VNM,2024,21.53411